Pos,Tm,Player,Age,Height,Weight,Hand,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
C PF PG SF SG,ATL BOS BRK CHI CHO CLE DAL DEN DET GSW HOU IND LAC LAL MEM MIA MIL MIN NOP NYK OKC ORL PHI PHO POR SAC SAS TOR UTA WAS,string,continuous,continuous,continuous,L R,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
SG,DEN,Kentavious Caldwell-Pope,29.0,196.0,92.0,R,0.484,0.471,0.839,3.0,2.3,1.1,0.3,1.1,2.1,11.7
SG,HOU,Eric Gordon,34.0,190.0,97.0,R,0.360,0.503,0.805,1.9,2.5,0.5,0.3,1.6,0.8,11.7
SF,SAC,Keegan Murray,22.0,203.0,97.0,R,0.404,0.477,0.783,3.8,0.9,0.8,0.6,1.0,2.2,11.7
PF,MIN,Jaden McDaniels,22.0,206.0,83.0,R,0.390,0.605,0.757,3.7,2.0,1.1,1.1,1.5,3.4,11.5
PG,PHI,De'Anthony Melton,24.0,188.0,90.0,R,0.400,0.458,0.710,4.6,2.9,1.9,0.5,1.5,2.5,11.4
PG,LAC,John Wall,32.0,190.0,95.0,R,0.303,0.459,0.681,2.7,5.2,0.8,0.4,2.4,1.7,11.4
PG,LAC,Reggie Jackson,32.0,188.0,94.0,R,0.341,0.464,0.915,2.4,3.7,0.6,0.1,2.0,1.9,11.3
SG,MIN,Jaylen Nowell,23.0,193.0,91.0,R,0.280,0.532,0.775,2.8,2.2,0.7,0.1,1.0,1.6,11.3
C,CHO,Mason Plumlee,32.0,211.0,115.0,L,,0.653,0.600,9.8,3.6,0.6,0.7,1.6,3.0,11.3
PG,BOS,Marcus Smart,28.0,190.0,99.0,R,0.330,0.535,0.783,3.4,7.4,1.3,0.4,2.3,2.7,11.2
SG,SAS,Josh Richardson,29.0,196.0,90.0,R,0.350,0.528,0.875,2.5,3.3,0.8,0.2,1.5,1.7,11.0
SG,DEN,Bruce Brown,26.0,193.0,91.0,R,0.399,0.550,0.804,4.1,3.8,1.0,0.7,1.6,2.4,10.9
PG,MEM,Tyus Jones,26.0,183.0,88.0,R,0.396,0.491,0.783,2.2,4.8,1.0,0.0,0.9,0.4,10.9
SF,CHO,Jalen McDaniels,25.0,206.0,92.0,R,0.342,0.533,0.854,4.8,2.0,1.0,0.6,1.4,2.9,10.8
SG,LAL,Austin Reaves,24.0,196.0,93.0,R,0.360,0.612,0.896,3.1,2.2,0.6,0.4,1.4,1.7,10.8
SF,HOU,Kenyon Martin Jr.,22.0,198.0,97.0,R,0.322,0.685,0.624,4.8,1.4,0.4,0.3,1.1,1.6,10.6
C,MIN,Naz Reid,23.0,206.0,119.0,R,0.357,0.663,0.649,4.9,0.9,0.5,0.9,1.2,2.3,10.6
SF,SAS,Doug McDermott,31.0,201.0,102.0,R,0.421,0.571,0.738,2.4,1.4,0.1,0.2,0.9,1.7,10.5
SG,NYK,Quentin Grimes,22.0,196.0,92.0,R,0.365,0.611,0.813,3.4,2.0,0.8,0.4,1.2,2.7,10.4
SF,NOP,Naji Marshall,25.0,201.0,99.0,R,0.341,0.503,0.793,3.7,2.4,0.8,0.2,1.3,1.5,10.4
PF,MIA,Caleb Martin,27.0,196.0,92.0,R,0.389,0.512,0.773,4.8,1.9,1.0,0.4,1.1,1.9,10.4
SG,PHI,Shake Milton,26.0,196.0,92.0,R,0.375,0.565,0.833,3.0,3.4,0.3,0.2,1.5,1.8,10.4
SG,MIL,Grayson Allen,27.0,193.0,89.0,R,0.391,0.504,0.899,3.5,2.6,0.7,0.2,1.1,1.5,10.2
PG,UTA,Mike Conley,35.0,185.0,79.0,L,0.349,0.420,0.787,2.1,7.5,1.0,0.2,1.7,2.2,10.2
PF,MEM,Brandon Clarke,26.0,203.0,97.0,R,0.167,0.671,0.756,5.4,1.1,0.5,0.7,1.1,2.4,10.1
PG,WAS,Monte Morris,27.0,188.0,83.0,R,0.374,0.527,0.776,3.3,5.3,0.7,0.2,1.0,1.4,10.1
C,LAC,Ivica Zubac,25.0,213.0,108.0,R,0.000,0.622,0.699,10.5,1.1,0.4,1.3,2.0,3.0,10.1
PG,DET,Killian Hayes,21.0,196.0,88.0,L,0.340,0.433,0.810,2.9,5.7,1.2,0.4,1.9,2.8,10.0
PF,IND,Jalen Smith,22.0,208.0,97.0,R,0.275,0.590,0.772,6.1,1.1,0.4,0.9,1.2,2.3,10.0
PF,CHI,Patrick Williams,21.0,201.0,97.0,R,0.411,0.495,0.904,4.1,1.3,0.7,0.9,1.3,2.1,10.0
SG,BOS,Derrick White,28.0,193.0,86.0,R,0.376,0.536,0.855,3.1,3.3,0.8,0.9,1.0,2.3,9.9
SF,ATL,AJ Griffin,19.0,198.0,100.0,R,0.371,0.586,0.875,2.2,1.0,0.8,0.2,0.7,1.2,9.8
SF,POR,Josh Hart,27.0,196.0,97.0,R,0.346,0.576,0.747,8.3,4.2,1.2,0.2,1.7,2.7,9.7
SF,WAS,Corey Kispert,23.0,201.0,99.0,R,0.416,0.587,0.830,2.9,1.4,0.6,0.1,0.8,1.5,9.7
PF,MEM,Santi Aldama,22.0,211.0,101.0,R,0.373,0.593,0.722,5.0,1.3,0.7,0.8,0.6,2.2,9.6
PF,TOR,Chris Boucher,30.0,206.0,90.0,R,0.293,0.575,0.752,5.5,0.4,0.7,0.7,0.5,2.1,9.6
SF,IND,Aaron Nesmith,23.0,196.0,97.0,R,0.342,0.518,0.891,3.9,1.3,0.8,0.5,0.9,3.2,9.6
SG,CHI,Ayo Dosunmu,23.0,196.0,90.0,R,0.324,0.589,0.796,3.1,2.6,0.7,0.3,1.4,2.5,9.5
C,BOS,Al Horford,36.0,206.0,108.0,R,0.441,0.584,0.600,6.3,2.7,0.5,1.0,0.6,1.8,9.5
C,SAS,Zach Collins,25.0,211.0,113.0,R,0.365,0.594,0.716,5.8,2.5,0.4,0.8,2.0,3.4,9.4
SF,BRK,Royce O'Neale,29.0,193.0,102.0,R,0.410,0.384,0.690,4.9,4.1,0.9,0.8,1.6,3.1,9.4
SG,BRK,Seth Curry,32.0,188.0,83.0,R,0.424,0.485,0.955,2.0,2.1,0.6,0.2,1.0,1.8,9.3
C,ATL,Onyeka Okongwu,22.0,203.0,106.0,R,0.000,0.622,0.730,7.7,1.0,0.7,1.2,1.0,3.2,9.3
SF,CLE,Cedi Osman,27.0,201.0,104.0,R,0.339,0.617,0.657,2.4,1.5,0.5,0.1,0.9,1.8,9.3
PF,PHI,Georges Niang,29.0,201.0,104.0,R,0.410,0.565,0.926,2.3,1.0,0.4,0.2,0.8,2.1,9.2
PG,NOP,Jose Alvarado,24.0,183.0,81.0,R,0.333,0.485,0.787,2.5,3.1,1.2,0.1,1.4,2.0,9.1
SG,PHO,Damion Lee,30.0,196.0,95.0,R,0.485,0.442,0.954,3.5,1.3,0.4,0.1,1.0,1.7,9.1
PF,CLE,Kevin Love,34.0,203.0,113.0,R,0.358,0.470,0.877,7.2,1.9,0.2,0.2,1.2,1.7,8.9
PF,BOS,Grant Williams,24.0,198.0,107.0,R,0.403,0.648,0.859,4.7,1.7,0.7,0.4,0.9,2.4,8.9
PF,OKC,Aleksej Pokusevski,21.0,213.0,86.0,R,0.376,0.486,0.636,5.1,2.0,0.6,1.3,1.3,1.8,8.8
PG,OKC,Tre Mann,21.0,190.0,80.0,R,0.307,0.500,0.704,2.4,1.7,0.7,0.2,1.0,1.5,8.7
SF,PHO,Torrey Craig,32.0,201.0,100.0,R,0.408,0.545,0.774,5.8,1.5,0.7,0.6,0.8,2.4,8.6
PF,SAS,Jeremy Sochan,19.0,206.0,104.0,R,0.200,0.531,0.610,4.8,2.4,0.8,0.5,1.8,2.7,8.6
SG,IND,Andrew Nembhard,23.0,196.0,87.0,R,0.385,0.500,0.909,3.1,3.8,1.0,0.2,1.6,2.8,8.4
PF,UTA,Jarred Vanderbilt,23.0,206.0,97.0,L,0.326,0.615,0.679,8.1,2.8,1.1,0.3,1.5,2.6,8.4
C,MEM,Steven Adams,29.0,211.0,120.0,R,0.000,0.592,0.342,11.4,2.3,0.8,1.2,1.9,2.3,8.3
SG,LAC,Terance Mann,26.0,196.0,97.0,R,0.348,0.592,0.770,3.7,1.9,0.6,0.3,1.0,1.8,8.3
C,CHO,Nick Richards,25.0,213.0,111.0,R,,0.625,0.733,5.8,0.6,0.2,0.8,0.8,2.3,8.3
SG,BRK,Joe Harris,31.0,198.0,99.0,R,0.385,0.544,0.667,2.8,1.5,0.6,0.3,0.6,2.6,8.2
SG,CHI,Coby White,22.0,196.0,88.0,R,0.358,0.524,0.784,2.6,1.9,0.7,0.1,0.8,1.7,8.2
SF,WAS,Deni Avdija,22.0,206.0,95.0,R,0.279,0.541,0.792,6.0,2.7,0.8,0.6,1.5,3.0,8.1
SG,ORL,Terrence Ross,31.0,198.0,93.0,R,0.376,0.485,0.750,2.1,1.3,0.6,0.2,0.9,1.3,8.0
SG,DET,Hamidou Diallo,24.0,196.0,91.0,R,0.278,0.593,0.560,3.5,0.9,0.8,0.2,1.0,2.1,7.9
PF,HOU,Tari Eason,21.0,203.0,97.0,R,0.360,0.452,0.800,5.2,0.9,1.1,0.5,1.0,2.2,7.9
PF,MIN,Kyle Anderson,29.0,206.0,104.0,R,0.395,0.517,0.786,4.2,3.8,1.2,0.8,1.5,2.1,7.8
SG,GSW,Donte DiVincenzo,26.0,193.0,92.0,R,0.373,0.444,0.857,4.8,3.0,1.3,0.1,1.4,1.9,7.8
