Pos,Tm,Player,Age,Height,Weight,Hand,3P%,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
C PF PG SF SG,ATL BOS BRK CHI CHO CLE DAL DEN DET GSW HOU IND LAC LAL MEM MIA MIL MIN NOP NYK OKC ORL PHI PHO POR SAC SAS TOR UTA WAS,string,continuous,continuous,continuous,L R,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
C,POR,Drew Eubanks,25.0,206.0,111.0,R,0.750,0.738,0.667,4.4,1.0,0.5,1.1,0.9,2.1,5.6
SG,MIN,Austin Rivers,30.0,193.0,90.0,R,0.386,0.576,0.862,1.6,1.5,0.6,0.1,0.6,1.7,5.6
PG,TOR,Malachi Flynn,24.0,185.0,79.0,R,0.389,0.365,0.765,1.6,1.6,0.4,0.1,0.5,1.5,5.5
SF,ATL,Jalen Johnson,21.0,206.0,99.0,R,0.273,0.596,0.714,3.6,1.0,0.5,0.5,0.5,1.6,5.5
PG,CHO,Théo Maledon,21.0,193.0,79.0,R,0.323,0.467,0.875,2.4,2.5,0.8,0.2,1.0,1.0,5.5
PG,CHI,Alex Caruso,28.0,193.0,84.0,R,0.400,0.474,0.738,2.8,3.4,1.6,0.7,1.4,2.4,5.4
SG,GSW,Moses Moody,20.0,198.0,92.0,R,0.366,0.596,0.703,1.7,0.9,0.4,0.1,0.7,0.9,5.4
SF,CLE,Isaac Okoro,22.0,196.0,102.0,R,0.306,0.586,0.768,2.5,0.8,0.7,0.4,0.6,1.9,5.4
C,NYK,Isaiah Hartenstein,24.0,213.0,113.0,L,0.242,0.538,0.750,6.2,0.7,0.6,0.7,0.8,2.4,5.2
PF,DEN,Vlatko Čančar,25.0,203.0,107.0,R,0.483,0.547,0.923,2.1,1.2,0.4,0.2,0.6,1.7,5.1
PG,NOP,Devonte' Graham,27.0,185.0,88.0,R,0.322,0.459,0.771,1.5,2.2,0.5,0.2,0.5,0.8,5.0
PG,MIL,George Hill,36.0,193.0,85.0,R,0.308,0.593,0.727,2.1,2.6,0.5,0.1,0.9,1.2,5.0
C,SAC,Chimezie Metu,25.0,206.0,102.0,R,0.238,0.696,0.826,3.1,0.7,0.3,0.2,0.7,1.2,5.0
PF,TOR,Thaddeus Young,34.0,203.0,106.0,L,0.174,0.615,0.737,3.6,1.6,1.1,0.1,0.7,1.8,4.9
SF,PHI,Danuel House Jr.,29.0,198.0,99.0,R,0.333,0.674,0.750,2.0,0.8,0.2,0.2,0.5,1.3,4.8
SG,HOU,Garrison Mathews,26.0,196.0,97.0,R,0.356,0.400,0.939,1.2,0.5,0.6,0.1,0.3,1.3,4.7
SG,PHO,Josh Okogie,24.0,193.0,96.0,R,0.254,0.512,0.721,3.0,1.1,0.6,0.4,0.8,1.4,4.7
PG,ATL,Aaron Holiday,26.0,183.0,83.0,R,0.400,0.426,0.846,1.5,1.5,0.6,0.2,0.6,1.6,4.6
PG,DET,Cory Joseph,31.0,190.0,90.0,R,0.313,0.452,0.765,1.3,3.1,0.4,0.1,0.7,1.5,4.6
PF,DEN,Zeke Nnaji,22.0,206.0,108.0,R,0.182,0.718,0.767,1.8,0.2,0.2,0.3,0.5,1.7,4.6
PG,NOP,Dyson Daniels,19.0,203.0,90.0,R,0.373,0.506,0.577,3.4,2.2,0.8,0.2,0.8,2.0,4.4
C,TOR,Christian Koloko,22.0,216.0,104.0,R,0.111,0.523,0.660,3.4,0.5,0.3,1.1,0.5,2.6,3.8
